AGENCY,PROGRAM_MODEL,CITY,STATE,WARD
Sarah's Circle,Community Hospitality Center (Drop-In Centers),Chicago,IL,46
"Ada S. McKinley Community Services, Inc.",Child Care Only,Chicago,IL,3
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,31
Chicago Commons Association,Head Start,Chicago,IL,26
Y M C A of Metropolitan Chicago,Head Start,Chicago,IL,26
El Valor Corporation,Child Care Only,Chicago,IL,22
The Night Ministry,Interim Housing-Youth,Chicago,IL,27
Carole Robertson Center for Learning,Head Start,Chicago,IL,27
McDermott Center dba Haymarket Center,Child Care Only,Chicago,IL,25
"Easter Seals Metropolitan Chicago, Inc.",Early Head Start,Chicago,IL,25
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,24
North Avenue Day Nursery,Head Start,Chicago,IL,1
Metropolitan Family Services,Legal Advocacy and Case Management,Chicago,IL,25
Mercy Housing Lakefront,Permanent Supportive Housing,Chicago,IL,42
"Family Focus, Inc.",Early Head Start – RTL,Chicago,IL,24
"SGA Youth & Family Services, NFP",Early Head Start – RTL,Chicago,IL,22
A Safe Haven Foundation,Interim Housing,Chicago,IL,24
Howard Area Community Center,Employment Preparation and Placement Program,Chicago,IL,49
North Avenue Day Nursery,Early Head Start,Chicago,IL,27
Local Initiative Support Corporation (LISC),Digital Literacy Program,Chicago,IL,15
"North Side Housing & Supportive Services, Inc.",Interim Housing,Chicago,IL,46
Sarah's Circle,Shelter Plus Care,Chicago,IL,46
The Salvation Army,Early Head Start,Chicago,IL,15
Mujeres Latinas En Accion,Supervised Visitation and Safe Exchange,Chicago,IL,25
Franciscan Outreach Assoc,Community Hospitality Center (Drop-In Centers),Chicago,IL,28
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,49
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,10
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,39
Christopher House,Child Care Only,Chicago,IL,46
Gads Hill Center,Head Start,Chicago,IL,16
"ASI, Inc.",Chore Services,Chicago,IL,1
Interfaith Housing Development Corp.,Shelter Plus Care,Chicago,IL,27
Y M C A of Metropolitan Chicago,Early Head Start,Chicago,IL,20
Henry Booth House,Early Head Start – Child Care Partnership,Chicago,IL,6
Metropolitan Family Services,Early Head Start – RTL,Chicago,IL,20
Y M C A of Metropolitan Chicago,Interim Housing,Chicago,IL,45
Board of Education City of Chicago,Head Start,Chicago,IL,29
"Ada S. McKinley Community Services, Inc.",Head Start,Chicago,IL,20
"Albany Park Community Center, Incorporated",Child Care Only,Chicago,IL,33
Board of Education City of Chicago,Head Start,Chicago,IL,15
Chicago Commons Association,Head Start,Chicago,IL,33
Board of Education City of Chicago,Head Start,Chicago,IL,3
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,48
Board of Education City of Chicago,Head Start,Chicago,IL,22
Institute of Women Today,Interim Housing,Chicago,IL,10
Chicago Youth Centers,Head Start,Chicago,IL,6
Board of Education City of Chicago,Head Start,Chicago,IL,9
South-East Asia Center,Child Care Only,Chicago,IL,48
Carole Robertson Center for Learning,Child Care Only,Chicago,IL,9
Catholic Charities of the Archdiocese of Chicago,Interim Housing,Chicago,IL,8
Christopher House,Child Care Only,Chicago,IL,36
"Ada S. McKinley Community Services, Inc.",Head Start,Chicago,IL,34
Henry Booth House,Head Start,Chicago,IL,17
Board of Education City of Chicago,Head Start,Chicago,IL,20
El Valor Corporation,Head Start,Chicago,IL,23
Housing Opportunities for Women,Shelter Plus Care,Chicago,IL,49
"Trinity United Church of Christ Child Care Centers, Incorporated",Early Head Start – Child Care Partnership,Chicago,IL,5
The Salvation Army,Early Head Start,Chicago,IL,8
Thresholds,Specialized Servcies:  Clinical Services,Chicago,IL,47
Shining Star Youth & Community Services dba Shining Star Early Learning Academy,Early Head Start – Child Care Partnership,Chicago,IL,8
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,15
Loretto Hospital,Health and Wellness Promotion,Chicago,IL,29
Board Trustees Community College,Head Start,Chicago,IL,27
Gads Hill Center,Head Start,Chicago,IL,28
Chicago House & Social Services Agency,Employment Preparation and Placement Program,Chicago,IL,43
Center For Changing Lives,Homelessness Prevention,Chicago,IL,26
Carole Robertson Center for Learning,Early Head Start,Chicago,IL,17
Gads Hill Center,Child Care Only,Chicago,IL,28
Housing Opportunities for Women,Shelter Plus Care,Chicago,IL,49
"Ada S. McKinley Community Services, Inc.",Head Start,Chicago,IL,29
Board of Education City of Chicago,Head Start,Chicago,IL,16
City-Wide Tax Assistance Program dba Ladder Up,Tax Preparation Assistance,Chicago,IL,32
"North Side Housing & Supportive Services, Inc.",Community Hospitality Center (Drop-In Centers),Chicago,IL,46
Chicago Youth Centers,Head Start,Chicago,IL,37
Inspiration Corporation,Permanent Supportive Housing,Chicago,IL,20
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,29
You Can Make It,Interim Housing,Chicago,IL,14
The Salvation Army,Child Care Only,Chicago,IL,6
Emergency Fund,Homeless Prevention,Chicago,IL,42
The Salvation Army,Child Care Only,Chicago,IL,8
Chicago Youth Centers,Head Start,Chicago,IL,18
Local Initiative Support Corporation (LISC),Digital Literacy Program,Chicago,IL,27
Board of Education City of Chicago,Head Start,Chicago,IL,26
Board of Education City of Chicago,Head Start,Chicago,IL,8
Chicago Youth Centers,Head Start,Chicago,IL,29
Carole Robertson Center for Learning,Head Start,Chicago,IL,24
Onward Neighborhood House,Early Head Start,Chicago,IL,30
Chicago Commons Association,Head Start,Chicago,IL,49
"Ada S. McKinley Community Services, Inc.",Head Start,Chicago,IL,9
Gads Hill Center,Head Start,Chicago,IL,16
Chicago Children's Advocacy Center,Chicago Children’s Advocacy Center,Chicago,IL,28
Board of Education City of Chicago,Head Start,Chicago,IL,4
El Valor Corporation,Head Start,Chicago,IL,14
"Ada S. McKinley Community Services, Inc.",Early Head Start – Child Care Partnership,Chicago,IL,20
Henry Booth House,Head Start,Chicago,IL,10
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,46
El Valor Corporation,Head Start,Chicago,IL,10
Board of Education City of Chicago,Head Start,Chicago,IL,26
South-East Asia Center,Child Care Only,Chicago,IL,47
"Easter Seals Metropolitan Chicago, Inc.",Early Head Start,Chicago,IL,9
Y M C A of Metropolitan Chicago,Early Head Start,Chicago,IL,35
Primo Center For Women & Children,Interim Housing,Chicago,IL,24
Board of Education City of Chicago,Head Start,Chicago,IL,6
Facing Forward to End Homelessness,Permanent Supportive Housing,Chicago,IL,27
Mary Crane League,Head Start,Chicago,IL,21
Board of Education City of Chicago,Head Start,Chicago,IL,7
Henry Booth House,Head Start,Chicago,IL,7
"Easter Seals Metropolitan Chicago, Inc.",Head Start,Chicago,IL,25
Centers for New Horizons,Head Start,Chicago,IL,3
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,17
The Night Ministry,Homeless Youth Overnight Shelter: Low-Threshold,Chicago,IL,44
Carole Robertson Center for Learning,Child Care Only,Chicago,IL,29
Cornerstone Community Outreach,Interim Housing,Chicago,IL,46
LAF,Public Benefits Outreach and Enrollment,Chicago,IL,28
El Hogar del Nino,Early Head Start,Chicago,IL,15
North Avenue Day Nursery,Early Head Start – Child Care Partnership,Chicago,IL,1
Board of Education City of Chicago,Head Start,Chicago,IL,49
Board of Education City of Chicago,Head Start,Chicago,IL,3
A Little Bit of Heaven,Emergency Shelter,Chicago,IL,34
McDermott Center dba Haymarket Center,Specialized Outreach and Engagement Services,Chicago,IL,41
"Open Kitchens, Inc.",Congregate Dining,Chicago,IL,25
"Trinity United Church of Christ Child Care Centers, Incorporated",Head Start,Chicago,IL,5
Carole Robertson Center for Learning,Child Care Only,Chicago,IL,17
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,8
Gads Hill Center,Early Head Start – Child Care Partnership,Chicago,IL,16
Board Trustees Community College,Child Care Only,Chicago,IL,8
Center for Economic Progress,Tax Preparation Assistance,Chicago,IL,25
Board of Education City of Chicago,Head Start,Chicago,IL,8
"Beacon Therapeutic  School, Inc. dba Beacon Therapeutic Diagnostic and Treatment Center, Inc.",Clinical Services,Chicago,IL,19
Catholic Charities of the Archdiocese of Chicago,Child Care Only,Chicago,IL,15
Chicago Youth Centers,Head Start,Chicago,IL,4
Polish American Association,Basic Street Outreach,Chicago,IL,45
"Chinese Mutual Aid Association, Inc.",Employment Preparation and Placement Program,Chicago,IL,48
Gads Hill Center,Head Start,Chicago,IL,7
Board of Education City of Chicago,Head Start,Chicago,IL,20
Housing Opportunities for Women,Shelter Plus Care,Chicago,IL,49
El Valor Corporation,Head Start,Chicago,IL,13
Southwest Side Senior Service Organization,Comprehensive Fitness,Chicago,IL,14
The Salvation Army,Intensive Case Advocacy and Support For At-Risk Seniors,Chicago,IL,46
Centers for New Horizons,Early Head Start – RTL,Chicago,IL,4
El Valor Corporation,Child Care Only,Chicago,IL,10
Henry Booth House,Head Start,Chicago,IL,16
Board of Education City of Chicago,Head Start,Chicago,IL,29
Shining Star Youth & Community Services dba Shining Star Early Learning Academy,Head Start,Chicago,IL,9
"Ada S. McKinley Community Services, Inc.",Early Head Start – Child Care Partnership,Chicago,IL,18
Chicago Commons Association,Early Head Start – Child Care Partnership,Chicago,IL,32
Howard Brown Health Center,Homeless Youth Engagement: Youth Drop-In Centers,Chicago,IL,44
"Easter Seals Metropolitan Chicago, Inc.",Early Head Start – Child Care Partnership,Chicago,IL,18
Metropolitan Family Services,Child Care Only,Chicago,IL,17
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,27
"Beacon Therapeutic  School, Inc. dba Beacon Therapeutic Diagnostic and Treatment Center, Inc.",Early Head Start,Chicago,IL,19
Howard Area Community Center,Counseling and Case Management Services,Chicago,IL,49
Henry Booth House,Early Head Start – Child Care Partnership,Chicago,IL,7
Board of Education City of Chicago,Head Start,Chicago,IL,34
Y M C A of Metropolitan Chicago,Early Head Start,Chicago,IL,24
Christopher House,Head Start,Chicago,IL,46
Chicago Youth Centers,Head Start,Chicago,IL,6
Carole Robertson Center for Learning,Head Start,Chicago,IL,29
"Trinity United Church of Christ Child Care Centers, Incorporated",Child Care Only,Chicago,IL,5
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,47
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,5
"It Takes A Village Child Care Services, Incorporated",Head Start,Chicago,IL,37
Thresholds,Permanent Supportive Housing,Chicago,IL,47
El Valor Corporation,Head Start,Chicago,IL,14
Mary Crane League,Early Head Start,Chicago,IL,37
Y M C A of Metropolitan Chicago,Head Start,Chicago,IL,10
La Casa Norte,Youth Drop-In Center,Chicago,IL,15
El Hogar del Nino,Child Care Only,Chicago,IL,27
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,32
El Valor Corporation,Head Start,Chicago,IL,22
"SGA Youth & Family Services, NFP",Early Head Start,Chicago,IL,22
North Avenue Day Nursery,Early Head Start,Chicago,IL,1
Thresholds,Shelter Plus Care,Chicago,IL,47
Board of Education City of Chicago,Head Start,Chicago,IL,49
Y M C A of Metropolitan Chicago,Early Head Start,Chicago,IL,28
"Easter Seals Metropolitan Chicago, Inc.",Head Start,Chicago,IL,35
The Salvation Army,Head Start,Chicago,IL,26
Board of Education City of Chicago,Head Start,Chicago,IL,9
Teen Living Programs,Homeless Youth Engagement: Youth Drop-In Centers,Chicago,IL,20
Carole Robertson Center for Learning,Head Start,Chicago,IL,13
Heartland Human Care Services Inc,Permanent Housing with Short-term Supports,Chicago,IL,47
Y M C A of Metropolitan Chicago,Early Head Start – Child Care Partnership,Chicago,IL,28
Board of Education City of Chicago,Head Start,Chicago,IL,21
Lutheran Social Services of Illinois,Early Head Start – Child Care Partnership,Chicago,IL,46
City-Wide Tax Assistance Program dba Ladder Up,Tax Preparation Assistance,Chicago,IL,38
Christian Community Health Center dba Christian Community Health Center,Shelter Plus Care,Chicago,IL,21
National Louis University,Head Start Support Services,Chicago,IL,42
Board of Education City of Chicago,Head Start,Chicago,IL,12
Chicago Child Care Society,Early Head Start – RTL,Chicago,IL,5
Chicago Commons Association,Head Start,Chicago,IL,29
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,46
Travelers & Immigrants Aid's Heartland Alliance for Human Needs & Human Rights DBA Heartland Alliance for Human Rights & Human Needs,Legal Services,Chicago,IL,25
Y M C A of Metropolitan Chicago,Early Head Start – RTL,Chicago,IL,25
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,45
Near West Side Community Development Corp,Shelter Plus Care,Chicago,IL,24
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,24
Greater West Town,Transitional Jobs Program,Chicago,IL,27
Sarah's Inn,Legal Advocacy and Case Management,Chicago,IL,25
Board of Education City of Chicago,Head Start,Chicago,IL,6
Carole Robertson Center for Learning,Early Head Start,Chicago,IL,29
Board of Education City of Chicago,Head Start,Chicago,IL,24
"Easter Seals Metropolitan Chicago, Inc.",Head Start,Chicago,IL,18
Henry Booth House,Head Start,Chicago,IL,34
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,27
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,47
Breakthrough Urban Ministries,Interim Housing,Chicago,IL,28
New Pisgah Missionary Baptist Church dba New Pisgah Day Care,Head Start,Chicago,IL,21
Rogers Park Community Council dba Northside Community Resources,Intensive Case Advocacy and Support For At-Risk Seniors,Chicago,IL,49
Board of Education City of Chicago,Head Start,Chicago,IL,14
"Family Focus, Inc.",Early Head Start – RTL,Chicago,IL,35
Local Initiative Support Corporation (LISC),Digital Literacy Program,Chicago,IL,26
Mercy Housing Lakefront,Shelter Plus Care,Chicago,IL,42
Y M C A of Metropolitan Chicago,Head Start,Chicago,IL,20
Center for Housing and Health,Outreach and Engagement Coordinator,Chicago,IL,42
Chicago Youth Centers,Head Start,Chicago,IL,9
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,2
Olive Branch Mission,Interim Housing,Chicago,IL,16
Henry Booth House,Head Start,Chicago,IL,3
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,9
Employment & Employer Services,Employment Preparation and Placement Program,Chicago,IL,42
Catholic Charities of the Archdiocese of Chicago,Head Start,Chicago,IL,12
Y M C A of Metropolitan Chicago,Child Care Only,Chicago,IL,20
Erie Neighborhood House,Head Start,Chicago,IL,1
Sinai Community Institute,Intensive Case Advocacy and Support For At-Risk Seniors,Chicago,IL,28
DePaul University,Head Start Support Services,Chicago,IL,4
Board of Education City of Chicago,Head Start,Chicago,IL,13
Shining Star Youth & Community Services dba Shining Star Early Learning Academy,Early Head Start – Child Care Partnership,Chicago,IL,9
"Albany Park Community Center, Incorporated",Employment Preparation and Placement Program,Chicago,IL,47
Christopher House,Early Head Start – Child Care Partnership,Chicago,IL,36
Centers for New Horizons,Child Care Only,Chicago,IL,4
"Ada S. McKinley Community Services, Inc.",Early Head Start,Chicago,IL,34
Chicago Commons Association,Head Start Support Services,Chicago,IL,3
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,47
Mary Crane League,Head Start,Chicago,IL,1
Henry Booth House,Head Start,Chicago,IL,9
Henry Booth House,Early Head Start – Child Care Partnership,Chicago,IL,8
Chicago Child Care Society,Head Start,Chicago,IL,6
Board of Education City of Chicago,Head Start,Chicago,IL,25
Life-Span,Legal Services for Victims of Domestic Violence,Chicago,IL,42
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,8
Board of Education City of Chicago,Head Start,Chicago,IL,22
"Albany Park Community Center, Incorporated",Head Start,Chicago,IL,33
Metropolitan Family Services,Legal Services for Victims of Domestic Violence,Chicago,IL,42
Illinois Action for Children,Head Start Support Services – RTL,Chicago,IL,46
Good News Partners,Interim Housing,Chicago,IL,49
Mary Crane League,Child Care Only,Chicago,IL,49
A Safe Haven Foundation,Interim Housing,Chicago,IL,28
Henry Booth House,Early Head Start – Child Care Partnership,Chicago,IL,10
The Salvation Army,Early Head Start – Child Care Partnership,Chicago,IL,6
Board of Education City of Chicago,Head Start,Chicago,IL,25
North Avenue Day Nursery,Early Head Start,Chicago,IL,36
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,20
Single Room Housing Assistance Corporation,Interim Housing,Chicago,IL,37
AIDS Legal Council of Chicago,Specialized Services:  SSI/SSDI,Chicago,IL,42
Near North Health Service Corporation,Counseling and Case Management Services,Chicago,IL,27
Onward Neighborhood House,Head Start,Chicago,IL,49
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,49
El Valor Corporation,Head Start,Chicago,IL,14
Chicago Commons Association,Head Start,Chicago,IL,8
Heartland Human Care Services Inc,Counseling and Case Management Services,Chicago,IL,11
Carole Robertson Center for Learning,Head Start,Chicago,IL,18
Lutheran Social Services of Illinois,Head Start,Chicago,IL,46
Board of Education City of Chicago,Head Start,Chicago,IL,2
Thresholds,Safe Havens Program,Chicago,IL,2
Interfaith Housing Development Corp.,Shelter Plus Care,Chicago,IL,27
Y M C A of Metropolitan Chicago,Early Head Start,Chicago,IL,25
Metropolitan Family Services,Head Start,Chicago,IL,17
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,10
"Easter Seals Metropolitan Chicago, Inc.",Head Start,Chicago,IL,1
Board of Education City of Chicago,Head Start,Chicago,IL,1
Goodwill Industries Metro Chicago,Employment Preparation and Placement Program,Chicago,IL,27
El Hogar del Nino,Head Start,Chicago,IL,15
La Casa Norte,Low Threshold Youth Overnight Shelter,Chicago,IL,1
"SGA Youth & Family Services, NFP",Early Head Start – Child Care Partnership,Chicago,IL,14
Chicago Irish Immigrant Support,Intensive Case Advocacy and Support For At-Risk Seniors,Chicago,IL,39
Henry Booth House,Head Start,Chicago,IL,6
"Unity Parenting and Counseling, Inc.",Project Based Transitional Housing,Chicago,IL,17
City-Wide Tax Assistance Program dba Ladder Up,Tax Preparation Assistance,Chicago,IL,25
Carole Robertson Center for Learning,Early Head Start,Chicago,IL,17
Board of Education City of Chicago,Head Start,Chicago,IL,21
Olive Branch Mission,Interim Housing,Chicago,IL,16
Board of Education City of Chicago,Head Start,Chicago,IL,50
North Avenue Day Nursery,Child Care Only,Chicago,IL,36
Emergency Fund,Rapid Re-housing Program,Chicago,IL,42
"SGA Youth & Family Services, NFP",Early Head Start – Child Care Partnership,Chicago,IL,18
Center For Changing Lives,Employment Preparation and Placement Program,Chicago,IL,26
The Salvation Army,Child Care Only,Chicago,IL,24
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,24
Catholic Charities of the Archdiocese of Chicago,Mobile Outreach Human Services,Chicago,IL,28
Board of Education City of Chicago,Head Start,Chicago,IL,24
Centro Romero,Counseling and Case Management Services,Chicago,IL,40
Howard Area Community Center,Community Re-Entry Support Centers,Chicago,IL,49
Chinese American Service League,Head Start,Chicago,IL,25
"Ada S. McKinley Community Services, Inc.",Head Start,Chicago,IL,18
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,8
Corporation for Supportive,System Coordinator,Chicago,IL,42
Chicago Youth Centers,Head Start,Chicago,IL,48
Board of Education City of Chicago,Head Start,Chicago,IL,20
Deborah's Place,Interim Housing,Chicago,IL,2
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,29
Gads Hill Center,Head Start,Chicago,IL,15
Coalition of Limited English Speaking Elderly (CLESE),Intensive Case Advocacy and Support For At-Risk Seniors,Chicago,IL,4
Board of Education City of Chicago,Head Start,Chicago,IL,35
"Easter Seals Metropolitan Chicago, Inc.",Head Start,Chicago,IL,25
Local Initiative Support Corporation (LISC),Digital Literacy Program,Chicago,IL,3
Howard Brown Health Center,Youth Drop-In Center,Chicago,IL,44
Gads Hill Center,Early Head Start – Child Care Partnership,Chicago,IL,7
Chicago Commons Association,Head Start,Chicago,IL,15
"Easter Seals Metropolitan Chicago, Inc.",Early Head Start,Chicago,IL,28
"The Korean-American Senior Center, Inc. dba Hanul Family Alliance",Congregate Dining,Chicago,IL,33
Board of Education City of Chicago,Head Start,Chicago,IL,7
Board of Education City of Chicago,Head Start,Chicago,IL,29
Carole Robertson Center for Learning,Early Head Start,Chicago,IL,17
A Safe Haven Foundation,Homeless Youth Overnight Shelter: Low-Threshold,Chicago,IL,28
Board Trustees Community College,Head Start,Chicago,IL,8
San Jose Obrero Mission,Interim Housing,Chicago,IL,25
Carole Robertson Center for Learning,Child Care Only,Chicago,IL,17
"Easter Seals Metropolitan Chicago, Inc.",Head Start,Chicago,IL,28
Henry Booth House,Head Start,Chicago,IL,18
"Ada S. McKinley Community Services, Inc.",Early Head Start – RTL,Chicago,IL,20
The Salvation Army,Early Head Start,Chicago,IL,24
El Valor Corporation,Head Start,Chicago,IL,25
Featherfist,Shelter Plus Care,Chicago,IL,20
Mary Crane League,Head Start,Chicago,IL,31
City-Wide Tax Assistance Program dba Ladder Up,Tax Preparation Assistance,Chicago,IL,39
Henry Booth House,Head Start,Chicago,IL,3
Board of Education City of Chicago,Head Start,Chicago,IL,37
"Easter Seals Metropolitan Chicago, Inc.",Head Start,Chicago,IL,3
Howard Area Community Center,Child Care Only,Chicago,IL,49
The Montessori Network,Head Start,Chicago,IL,16
LAF,Public Benefits Outreach and Enrollment,Chicago,IL,35
The Salvation Army,Basic Street Outreach,Chicago,IL,28
El Valor Corporation,Child Care Only,Chicago,IL,22
Christian Community Health Center dba Christian Community Health Center,Counseling and Case Management Services,Chicago,IL,34
Onward Neighborhood House,Child Care Only,Chicago,IL,30
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,16
"Ada S. McKinley Community Services, Inc.",Head Start,Chicago,IL,3
Inspiration Corporation,Shelter Plus Care,Chicago,IL,46
"Easter Seals Metropolitan Chicago, Inc.",Head Start,Chicago,IL,45
Cornerstone Community Outreach,Interim Housing,Chicago,IL,46
Metropolitan Family Services,Counseling and Case Management Services,Chicago,IL,23
Growing Home Inc,Transitional Jobs Program,Chicago,IL,15
Y M C A of Metropolitan Chicago,Early Head Start,Chicago,IL,28
Board of Education City of Chicago,Head Start,Chicago,IL,26
"Trinity United Church of Christ Child Care Centers, Incorporated",Child Care Only,Chicago,IL,21
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,46
"Ada S. McKinley Community Services, Inc.",Early Head Start – Child Care Partnership,Chicago,IL,3
Heartland Human Care Services Inc,Shelter Plus Care,Chicago,IL,46
Board of Education City of Chicago,Head Start,Chicago,IL,20
Board Trustees Community College,Head Start,Chicago,IL,20
MYSI Corporation,Intensive Case Advocacy and Support For At-Risk Seniors,Chicago,IL,19
El Valor Corporation,Head Start,Chicago,IL,11
Chicago Urban League,Employment Preparation and Placement Program,Chicago,IL,3
"Easter Seals Metropolitan Chicago, Inc.",Early Head Start – Child Care Partnership,Chicago,IL,6
Henry Booth House,Head Start,Chicago,IL,5
South-East Asia Center,Child Care Only,Chicago,IL,48
The Salvation Army,Head Start,Chicago,IL,37
Y M C A of Metropolitan Chicago,Early Head Start,Chicago,IL,37
Board of Education City of Chicago,Head Start,Chicago,IL,5
Mary Crane League,Head Start,Chicago,IL,26
Board of Education City of Chicago,Head Start,Chicago,IL,17
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,29
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,6
Southwest Side Senior Service Organization,Satellite Senior Centers,Chicago,IL,14
City-Wide Tax Assistance Program dba Ladder Up,Tax Preparation Assistance,Chicago,IL,12
Chicago Commons Association,Early Head Start – RTL,Chicago,IL,25
Henry Booth House,Head Start,Chicago,IL,8
Centers for New Horizons,Head Start,Chicago,IL,9
Y M C A of Metropolitan Chicago,Head Start,Chicago,IL,28
Henry Booth House,Head Start,Chicago,IL,20
Board of Education City of Chicago,Head Start,Chicago,IL,16
El Valor Corporation,Early Head Start – RTL,Chicago,IL,22
"SGA Youth & Family Services, NFP",Early Head Start – Child Care Partnership,Chicago,IL,16
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,46
North Avenue Day Nursery,Early Head Start – Child Care Partnership,Chicago,IL,31
Board of Education City of Chicago,Head Start,Chicago,IL,22
Lutheran Social Services of Illinois,Child Care Only,Chicago,IL,46
Carole Robertson Center for Learning,Head Start,Chicago,IL,24
A Little Bit of Heaven,Emergency Shelter,Chicago,IL,27
Marillac Social Center,Intensive Case Advocacy and Support For At-Risk Seniors,Chicago,IL,27
Catholic Charities of the Archdiocese of Chicago,Interim Housing,Chicago,IL,16
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,41
North Avenue Day Nursery,Child Care Only,Chicago,IL,27
The Salvation Army,Child Care Only,Chicago,IL,28
Mary Crane League,Early Head Start – RTL,Chicago,IL,28
La Casa Norte,Youth-Intentional Permanent Supportive Housing,Chicago,IL,26
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,45
Catholic Charities of the Archdiocese of Chicago,Child Care Only,Chicago,IL,12
Board of Education City of Chicago,Head Start,Chicago,IL,28
Chinese American Service League,Employment Preparation and Placement Program,Chicago,IL,25
El Valor Corporation,Head Start,Chicago,IL,26
City-Wide Tax Assistance Program dba Ladder Up,Tax Preparation Assistance,Chicago,IL,31
New Moms Inc,Project Based Transitional Housing,Chicago,IL,37
The Salvation Army,Early Head Start,Chicago,IL,28
Christian Community Health Center dba Christian Community Health Center,Interim Housing,Chicago,IL,17
Local Initiative Support Corporation (LISC),Digital Literacy Program,Chicago,IL,25
Thresholds,Shelter Plus Care,Chicago,IL,47
Local Initiative Support Corporation (LISC),Digital Literacy Program,Chicago,IL,20
Metropolitan Family Services,Head Start,Chicago,IL,30
"Easter Seals Metropolitan Chicago, Inc.",Early Head Start – Child Care Partnership,Chicago,IL,9
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,19
Interfaith Housing Development Corp.,Permanent Supportive Housing,Chicago,IL,24
Better Boys Foundation dba BBF family Services,Child Care Only,Chicago,IL,24
Church of God,Child Care Only,Chicago,IL,15
"Ada S. McKinley Community Services, Inc.",Head Start,Chicago,IL,3
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,34
Chicago Commons Association,Head Start,Chicago,IL,9
Board of Education City of Chicago,Head Start,Chicago,IL,24
LAF,Legal Services for Victims of Domestic Violence,Chicago,IL,42
El Hogar del Nino,Early Head Start,Chicago,IL,13
El Valor Corporation,Head Start,Chicago,IL,23
Carole Robertson Center for Learning,Child Care Only,Chicago,IL,6
Board of Education City of Chicago,Head Start,Chicago,IL,22
Board of Education City of Chicago,Head Start,Chicago,IL,24
Y M C A of Metropolitan Chicago,Head Start,Chicago,IL,28
Gads Hill Center,Child Care Only,Chicago,IL,25
Board Trustees Community College,Child Care Only,Chicago,IL,27
Board of Education City of Chicago,Head Start,Chicago,IL,25
Housing Opportunities for Women,Shelter Plus Care,Chicago,IL,49
Gads Hill Center,Head Start,Chicago,IL,16
Primo Center For Women & Children,Interim Housing,Chicago,IL,29
Olive Branch Mission,Interim Housing,Chicago,IL,16
"Ada S. McKinley Community Services, Inc.",Head Start,Chicago,IL,9
The Salvation Army,Housing Relocation Counseling for At-Risk Seniors,Chicago,IL,46
"Ada S. McKinley Community Services, Inc.",Early Head Start – Child Care Partnership,Chicago,IL,34
